review_id,Asin,Brand,Nation,Rating,Content
128,B001ANVDMA,posca,US,4,"these pens have been very addicting to use. i absolutely love painting with them. however, i find them useful on less surfaces than i anticipated, and it's limited my creativity slightly. i bought these with the expectation that i could paint on anything, and while i can paint on just about, there are still some things that the paint does not play nicely with. as well, these are not well suited for canvases, as the texture of the canvas tears up the bullet nib. regardless my photo was painted on canvas as i made the beginner mistake of starting on one, and i believe it still turned out very nicely, at the expense of one side of the nibs. it's a good thing that they are double ended."
129,B001ANVDMA,posca,US,5,"Ich habe meine Stifte hier bei Amazon über Japan bestellt und musste wirklich verdammt lange warten, bis sie kamen (sie kamen fristgerecht, trotzdem war es so lang, dass das Kreativ-Feuer schon wieder erloschen war). Dann standen sie erstmal 'ne Weile im Regal. Eben habe ich die Stifte probiert, mein Stein war sehr porös.<br>Was soll ich sagen - ich finde sie so genial. Die hellen Farben überdecken sogar das Schwarz. Alles schön matt. Ich bin total  begeistert. Sie trocknen in Windeseile.<br>Das einzige, was ich verbesserungswürdig finde, wäre Folgendes: Die Spitze ist sehr weit drin und man kann dann nicht sooo ganz exakt sehen, wo man malt. Ich habe die 3er und die 5er gekauft, finde die 3er aber schon recht dick, deshalb habe ich die 5er erst garnicht probiert. Außerdem wurde die Spitze beim Pumpen auf Papier schon etwas zerfusselt :/.<br>Ich werde auf jeden Fall noch die 1er bestellen, ich bin eher jemand, der kleine Sachen ""bastelt"". Aber ich kaufe da, wo ich die Stifte schnell bekomme, dieses Mal möchte/kann ich nicht 3 - 4 Wochen auf die Post aus Japan warten. Jetzt bin ich angefixt *hihi*..."
131,B001ANVDMA,posca,US,5,i cant stop buying these theyre perfect
132,B001ANVDMA,posca,US,5,POSCA pens are the best paint pens
133,B001ANVDMA,posca,US,5,"Haven't used yet. However, exactly what I wanted."
134,B001ANVDMA,posca,US,5,Colors are vibrant and cover beautifully
136,B001ANVDMA,posca,US,5,These are amazing. They work so well. Very smooth. I have used on canvas.
137,B001ANVDMA,posca,US,5,👌👌
138,B001ANVDMA,posca,US,5,"poska de bonne qualité, couleurs sympathiques et bon rapport qualité prix nous sommes très contents de notre achat, utilisation sur divers matériaux et les feutres tiennent bons pour l'instant."
139,B001ANVDMA,posca,US,1,The item in the picture shows POSCA pens. I got Uni POSCA pens all Japanese writing on box. I was out of town and mail was delivered past the return date.
140,B001ANVDMA,posca,US,5,"Nephew loves them, good artist."
141,B001ANVDMA,posca,US,4,Des posca à ce prix c'est une bonne affaire.Ils sont identiques à ceux vendus en France.Il faudrait que l'on m'explique:un produit venant du Japon est deux fois moins cher et en plus il n'y a pas de frais d'envois!? Pas très écologique tout ça.
